ROI,Con,Inc
Default,0.031773143,-0.72401714
Default,-3.589406,-5.293689
Default,-4.4074197,-5.6922364
Default,-0.81088495,-1.4731561
Default,5.7819,5.848248
Default,-1.0406047,-1.7655829
Default,1.7432642,0.15884942
Default,-0.91345495,-1.0553133
Default,-0.2276487,-1.6014562
Default,2.617064,2.2365296
Default,-0.41455805,-2.486097
Default,0.11707179,-0.51915294
Default,-2.67625,-2.8341482
Default,-0.51978177,-0.6432679
Default,-1.5164012,-2.41238
Default,-3.9584625,-4.289705
Default,5.5929356,3.2894034
Default,-2.8001058,-3.17812
Default,2.5883753,0.5029108
Default,-1.7565594,-1.8169651
Default,-2.6767156,-3.199439
Default,-1.1887037,-2.2307906
Default,1.1515857,-0.48435816
Default,-2.4424994,-4.154
Default,-0.046118423,0.14714444
Default,-2.206078,-3.6783147
Default,-1.3829433,-2.1352155
Default,-2.6609895,-3.4478602
Default,-1.2121837,-1.6831445
Default,-4.1208663,-4.135347
Visual,-1.1168768,-1.414327
Visual,0.19191042,0.9898414
Visual,-0.85182214,-0.35701397
Visual,-0.43791938,-0.06852586
Visual,2.9308703,2.6616478
Visual,-0.61457413,-0.10399438
Visual,-2.1213312,-1.236037
Visual,-0.091165476,-0.19726183
Visual,0.4226048,0.5505089
Visual,0.82110846,1.4611678
Visual,0.020057611,0.095126264
Visual,0.7371091,0.7527364
Visual,4.897396,4.901016
Visual,-1.0162802,-2.3737125
Visual,-0.5131124,-0.4830528
Visual,-0.27298248,-0.116405286
Visual,0.6187032,0.4170062
Visual,-0.116353996,0.057649676
Visual,-0.7387308,-0.3957351
Visual,0.46788168,0.51561135
Visual,3.9519203,3.7861538
Visual,-0.10706146,0.25820142
Visual,-0.98187715,-0.8364479
Visual,1.7867078,1.9225485
Visual,-0.70282596,-0.7697011
Visual,-1.7943598,-1.5308353
Visual,-1.3839366,0.09433266
Visual,-0.97702676,-0.6657719
Visual,-0.30590948,-0.58955187
Visual,-1.0599161,-0.90130335
Visual,-0.35395113,-0.13081647
Visual,-1.6489866,-1.3689991
Visual,0.0785476,-0.006509079
Visual,-0.20577385,-0.10835743
Visual,0.75070393,0.6858163
Visual,-0.77270114,0.28899547
Visual,5.129394,5.3092203
Visual,0.6274291,0.9148749
Visual,1.1246253,1.1273214
